"replicate","n","corner_relief","edge","family","cor_true","delta_kl_total","node_holdout_score","gen_time","fit_time"
5,2000,0.6,"7->8","Gumbel(3.0)",0.839374841514194,-0.0160534216967108,0.566504720899721,9.1980311870575,1.14165306091309
5,2000,0.8,"1->2","Clayton(3.0)",0.771164354982025,-0.0254312881506578,0.506595019396577,9.1980311870575,1.1460599899292
5,2000,0.8,"7->8","Gumbel(3.0)",0.831730014530675,-0.0254312881506578,0.559330812683704,9.1980311870575,1.1460599899292
5,4000,0,"1->2","Clayton(3.0)",0.763628402093688,0,0.468231216764569,18.4731340408325,4.22406601905823
5,4000,0,"7->8","Gumbel(3.0)",0.833776528749845,0,0.586405586021125,18.4731340408325,4.22406601905823
5,4000,0.3,"1->2","Clayton(3.0)",0.769994741745282,0.0845648320932368,0.471460112474778,18.4731340408325,4.20598602294922
5,4000,0.3,"7->8","Gumbel(3.0)",0.825419377107169,0.0845648320932368,0.573435601573165,18.4731340408325,4.20598602294922
5,4000,0.6,"1->2","Clayton(3.0)",0.779325239663154,0.0468650148526448,0.470679510263621,18.4731340408325,4.18766498565674
5,4000,0.6,"7->8","Gumbel(3.0)",0.833047024643738,0.0468650148526448,0.585489306573896,18.4731340408325,4.18766498565674
5,4000,0.8,"1->2","Clayton(3.0)",0.775880421003988,0.0354153690164236,0.472108592938444,18.4731340408325,4.20762515068054
5,4000,0.8,"7->8","Gumbel(3.0)",0.822585621911501,0.0354153690164236,0.567883943753356,18.4731340408325,4.20762515068054
5,8000,0,"1->2","Clayton(3.0)",0.767645093885106,0,0.458138725179852,36.9104270935059,16.0971879959106
5,8000,0,"7->8","Gumbel(3.0)",0.830269739417819,0,0.570093224240489,36.9104270935059,16.0971879959106
5,8000,0.3,"1->2","Clayton(3.0)",0.778993629504516,0.0937780251930125,0.459172026632194,36.9104270935059,16.170177936554
5,8000,0.3,"7->8","Gumbel(3.0)",0.813510834722246,0.0937780251930125,0.531009465643122,36.9104270935059,16.170177936554
5,8000,0.6,"1->2","Clayton(3.0)",0.779143958608096,0.104657061854989,0.459382236374544,36.9104270935059,15.9814941883087
5,8000,0.6,"7->8","Gumbel(3.0)",0.83524268375682,0.104657061854989,0.578641116772222,36.9104270935059,15.9814941883087
